sessions,deposits,feature_used,churn_probability,actual_churn
8,45.55,1,0.4700193507426529,0
12,100.03,1,0.43823977913317974,1
5,53.61,0,0.5385177103506684,0
7,200.94,1,0.46215711631285594,0
4,189.0,0,0.5325326039786606,0
9,82.68,1,0.4598412029228582,0
3,46.58,0,0.5525269751680731,1
8,54.61,0,0.5182937735343471,1
0,50.39,1,0.5233720973730297,0
5,106.5,1,0.4844474214679232,0
7,88.57,1,0.47269249716729905,0
6,202.49,1,0.4687122862174238,0
5,59.42,1,0.4888772615738638,1
5,136.75,0,0.5307269968418774,1
7,173.46,0,0.5138402557154625,1
3,96.89,0,0.5478375705009212,1
5,182.7,0,0.5264145276016027,0
13,193.1,1,0.4230431435084846,1
9,196.74,1,0.44919067784552874,1
8,67.61,0,0.517071233135917,1
6,9.88,1,0.48681045118033134,0
4,101.68,1,0.491629724355502,0
4,42.98,0,0.546195660506329,0
7,96.24,0,0.5211022368719886,0
10,105.92,1,0.4509914168121153,1
1,85.52,0,0.5621965031510737,1
8,220.65,0,0.5026676943301265,0
8,87.55,0,0.5151956521146207,0
4,16.37,1,0.49966167905895353,0
3,68.44,1,0.5014914870873058,0
6,65.28,1,0.4815992746571288,0
9,361.18,0,0.48270970753642056,1
9,57.4,1,0.4622070833765252,0
4,70.82,0,0.5435954043161149,0
5,5.87,0,0.5429829899217529,0
4,112.84,1,0.4905792386695002,1
7,140.72,0,0.516920107103413,0
7,26.26,0,0.5276757366613773,0
7,27.62,1,0.47841773061485554,0
7,135.5,0,0.5174110397170054,0
6,64.49,1,0.48167356022906527,0
4,182.48,1,0.48402630219385134,0
4,176.23,0,0.5337297392323682,0
14,39.77,0,0.4793149326758359,1
5,94.89,0,0.5346516404341145,0
6,72.49,1,0.48092133927148556,0
3,39.91,1,0.5041777613912473,0
3,27.56,1,0.5053405238549545,1
7,96.29,0,0.5210975372870457,0
8,61.29,1,0.46854287741299017,0
7,48.92,1,0.4764162298794119,0
7,137.37,0,0.5172351730355441,0
3,86.6,1,0.4997815571868483,1
13,190.35,0,0.47188697332725626,0
6,119.99,0,0.5255888101720008,0
2,40.76,1,0.5108288209832563,0
6,31.68,0,0.533874430441847,1
5,87.94,1,0.4861935114252897,1
9,28.94,0,0.5139826761301861,0
5,210.38,0,0.5238147776290706,1
5,86.09,0,0.5354761677930614,0
6,61.94,0,0.5310371808004849,0
7,149.25,0,0.5161178044396478,0
4,106.38,1,0.4911873059636693,0
7,92.37,1,0.47233577278889577,0
2,143.5,0,0.5501589793962323,0
5,125.5,0,0.5317821503913139,1
4,31.83,0,0.547236372250351,1
1,164.73,1,0.505889995180032,0
5,67.81,1,0.48808768372475664,0
5,94.61,1,0.48556596932560686,0
7,131.24,1,0.4686885440227636,0
4,59.97,0,0.5446090849183165,0
5,211.43,0,0.5237161336404259,0
9,56.99,0,0.5113432057220668,0
7,120.54,0,0.518817814244062,0
8,245.42,0,0.5003353917543993,0
11,30.29,1,0.4513762952848035,1
10,103.73,0,0.5002114514980615,1
6,32.67,1,0.4846663080574516,0
6,69.53,0,0.5303252022058033,0
7,76.52,0,0.5229554534584495,1
11,254.16,1,0.43059370139934305,1
8,57.73,0,0.5180003832604174,0
10,171.65,1,0.444869521883832,0
0,13.01,1,0.5268828712213491,0
2,72.88,1,0.5078054811139942,0
4,77.11,1,0.49394273462609156,1
5,72.21,0,0.5367762765043075,0
10,51.2,1,0.456099295480263,1
3,100.68,0,0.5474839490019868,0
8,242.86,1,0.4515571895649912,1
4,113.93,1,0.49047664177897365,1
5,90.13,0,0.5350976585813231,0
6,214.73,1,0.4675644558695495,0
7,109.46,1,0.47073180623343874,0
7,45.93,1,0.476697147500332,1
7,53.82,1,0.4759558955542337,1
10,152.15,1,0.4466840338919519,0
9,188.83,1,0.4499278985171385,0
6,91.61,1,0.4791238878934147,0
4,343.13,1,0.46893422759000486,0
6,10.66,0,0.535844037622679,0
5,238.55,1,0.472037862160216,0
7,71.39,0,0.523437451396735,0
5,174.36,0,0.5271975595450719,1
3,125.79,1,0.4960915306876794,0
5,242.09,0,0.5208349450738397,0
4,43.57,1,0.49710057637515653,0
5,45.96,1,0.4901440883665392,0
9,147.02,0,0.5028679519165749,0
12,99.71,1,0.4382694506378447,0
9,162.7,1,0.45236478945479747,0
7,69.79,1,0.474455869046991,1
6,126.74,0,0.5249548581256233,0
3,72.11,0,0.5501484333000846,1
2,16.93,0,0.5619264296062294,1
1,97.78,1,0.5121918210052564,1
10,90.03,1,0.4524736652171125,0
9,81.46,1,0.45995533842502645,0
4,129.97,0,0.5380630735495847,0
8,206.32,1,0.454967697061232,1
8,173.15,0,0.507139804841566,1
7,135.88,1,0.46825338178087167,0
8,106.32,1,0.46432201635890136,1
7,11.49,1,0.4799338857640167,0
11,51.14,1,0.4494323907743053,0
10,149.25,0,0.4959254067400681,0
6,54.52,1,0.4826111314917292,1
5,189.98,1,0.4765990860215992,0
7,85.41,1,0.472989162901643,1
5,28.77,0,0.5408418946404028,1
9,181.38,1,0.4506224479057121,0
3,98.4,0,0.5476966874920043,1
5,114.11,1,0.48373159427366086,1
1,160.09,0,0.5552720449102015,1
6,65.1,1,0.4816162004122096,0
4,33.64,0,0.5470674594311853,1
3,59.08,0,0.5513626868250611,1
6,216.46,0,0.5165216132612781,1
6,36.81,0,0.5333935785990868,1
2,234.01,1,0.49263474719393385,1
9,203.43,1,0.4485673365652739,1
4,158.07,1,0.48632270786482173,1
7,278.78,0,0.5039268455661063,1
3,41.05,1,0.5040704270013587,0
4,183.84,1,0.483898377186093,0
7,120.93,1,0.4696556365476394,0
8,9.72,0,0.5225135241987674,0
6,82.41,0,0.5291167151325713,1
0,162.02,0,0.5617332282694686,1
8,143.02,1,0.4608857115268077,1
4,56.45,0,0.5449378682113126,0
6,167.96,0,0.5210818538977467,0
6,22.7,0,0.5347160034489782,1
5,215.83,1,0.4741709699423575,0
4,28.24,1,0.49854401128384984,1
6,108.48,1,0.4775384038898674,0
10,159.76,1,0.44597573720502187,0
5,198.85,0,0.5248978586704978,1
4,48.15,0,0.545712968680373,1
9,58.03,1,0.4621481024068492,0
5,51.74,0,0.5386927387081193,1
2,125.22,0,0.5518622959412011,0
6,52.97,0,0.5318784469526804,0
8,82.31,0,0.5156885766071048,0
4,177.17,1,0.48452579398735923,1
6,38.7,1,0.4840990809857736,1
6,67.88,1,0.48135479625788236,0
11,87.11,1,0.44608246652887795,0
6,35.07,0,0.533556681544418,0
7,232.66,1,0.45918886707672707,0
6,349.54,1,0.45494773681136513,0
9,108.6,0,0.5064852230319823,1
6,121.41,1,0.47632351539113793,0
5,204.66,1,0.4752200359832285,0
4,69.45,0,0.5437234191079464,1
4,41.13,1,0.49733031813231726,1
11,111.18,1,0.44384351478453477,0
8,223.49,1,0.4533645671678418,0
5,93.43,1,0.48567698551060207,0
6,56.04,0,0.5315905421261173,1
5,141.04,0,0.530324558740872,1
3,106.23,1,0.4979332203176996,1
3,54.26,0,0.5518117038104275,0
8,90.45,0,0.5149228376209547,0
8,114.56,1,0.4635501796449825,0
5,152.76,1,0.48009711182181664,0
5,140.39,0,0.5303855367586442,1
11,128.63,1,0.4422217641573291,0
8,58.58,1,0.4687970474491364,1
5,315.93,1,0.4647810241505733,0
7,67.71,1,0.4746512132817202,1
10,84.06,1,0.4530307771517551,0
5,223.09,0,0.5226205930033782,1
7,116.38,1,0.4700825058772013,0
6,38.4,1,0.4841273002817795,1
7,78.89,1,0.47360133073007643,0
8,178.55,0,0.5066314406623147,0
3,165.19,0,0.5414578542862852,1
4,28.03,0,0.5475909604101226,0
9,210.53,0,0.49688796134177166,1
1,23.92,0,0.5678984867772865,0
5,143.42,1,0.48097522751858807,0
3,12.17,1,0.5067894224802199,1
8,67.89,1,0.46792393405610166,0
6,63.79,0,0.5308636534142555,1
7,64.25,0,0.5241082294759032,0
6,88.19,1,0.4794453602029871,1
2,34.61,0,0.560286557901278,0
6,98.06,1,0.4785176496600674,0
8,155.52,0,0.5087994114379286,0
5,21.65,0,0.5415077629280576,0
12,111.96,1,0.4371339053301361,0
4,73.93,0,0.5433047800434232,1
8,20.84,0,0.5214684977159589,0
4,312.39,0,0.5209480343039653,0
6,60.12,1,0.482084496230244,1
4,143.2,0,0.5368243318054251,1
5,94.58,1,0.4855687917533891,1
9,83.05,1,0.4598065888893501,1
9,11.95,1,0.4664648277824437,0
6,159.51,0,0.5218760322184205,0
3,94.56,1,0.49903204971849324,0
5,150.92,0,0.5293975824519448,1
4,106.47,1,0.4911788342546051,0
4,154.02,0,0.535810902759042,0
3,52.57,0,0.5519691192648147,0
7,92.3,1,0.4723423437731799,0
9,50.26,0,0.5119765536544534,0
4,269.31,0,0.5249958356677124,1
9,350.07,1,0.43494805557649135,0
2,110.99,1,0.5042176012757804,0
9,50.46,1,0.4628568798988908,1
2,48.19,0,0.5590260769567934,0
6,73.8,0,0.5299246011710429,0
6,157.99,1,0.4728880635427924,0
7,143.51,0,0.5166576986310513,0
3,107.83,1,0.4977825680762616,0
3,201.64,1,0.4889512610023239,1
7,51.55,1,0.4761691474445908,0
3,276.31,1,0.4819264590961972,0
6,193.83,1,0.469524595695396,0
5,103.69,0,0.5338269236600655,0
8,153.22,0,0.5090159092730877,1
5,176.77,1,0.47784034885449833,0
7,56.31,1,0.47572198616582234,0
6,154.04,1,0.4732589144252422,1
9,21.39,1,0.46558006815701525,1
10,176.29,1,0.4444379756453863,0
3,265.66,1,0.4829280174915227,0
2,220.81,1,0.49387742425684283,0
8,93.21,1,0.46555037441774005,0
6,138.11,1,0.4747548184684636,1
13,200.14,1,0.4223960971835455,1
7,95.61,0,0.5211614513219662,0
7,91.86,0,0.5215139059251185,1
7,67.19,1,0.4747000505550072,0
5,43.58,1,0.4903681025795899,0
6,188.79,0,0.519123687015956,0
5,83.91,0,0.5356803959164841,1
2,37.97,1,0.5110913994184477,1
6,72.98,0,0.5300015345878334,1
6,181.76,0,0.5197846252763626,1
3,244.15,1,0.4849512933263431,1
4,62.82,0,0.544342854031029,0
10,80.75,0,0.5023752161926738,0
7,110.59,1,0.4706257720374841,0
2,80.05,1,0.5071305090719904,0
5,55.9,1,0.4892085434102474,1
3,160.8,1,0.492795429861975,1
7,161.66,0,0.514950414962007,1
5,89.73,1,0.48602509622117057,1
6,140.16,1,0.47456228758068436,1
18,132.63,0,0.44386634900611627,1
8,182.14,0,0.5062934649708601,1
8,74.82,1,0.4672741497856133,0
8,74.13,0,0.5164580042304595,1
3,114.29,0,0.546213691242275,1
5,37.08,1,0.4909799255472855,1
11,91.67,1,0.4456581320043747,0
7,115.52,1,0.47016319380889604,1
12,121.0,1,0.4362963409020223,0
10,53.92,0,0.504901373215021,0
7,46.66,1,0.47662856089455596,0
4,121.97,1,0.4897198974039388,0
7,12.21,0,0.5289944265423352,0
1,49.63,1,0.5167217738127748,1
2,44.63,1,0.5104645894202622,1
3,50.47,0,0.5521647097536208,0
8,228.32,0,0.5019455073818377,0
7,29.5,1,0.47824104350721214,0
2,99.33,0,0.5542726166136593,1
8,52.4,1,0.4693767280291846,1
7,193.68,1,0.4628368674523427,0
3,80.95,0,0.5493243007227552,1
7,377.69,0,0.4946138304014825,1
5,45.77,0,0.5392514550299494,0
9,85.79,1,0.4595502700284657,0
3,37.34,0,0.5533872477414211,1
5,37.14,1,0.4909742778242787,1
8,184.9,0,0.5060336245789119,1
12,197.82,1,0.4291940193202679,0
8,228.44,1,0.4529025732588326,0
6,223.02,0,0.5159045772784303,0
7,102.02,0,0.5205589403246093,1
5,49.7,1,0.4897920740635434,1
4,90.53,0,0.5417530440042448,1
5,94.86,0,0.5346544516471405,0
9,80.31,0,0.5091483345379186,1
2,197.39,0,0.5451308496956592,1
4,110.75,1,0.4907759633599685,0
6,17.83,1,0.4860624351062556,0
3,23.59,0,0.5546668220685252,0
7,124.52,0,0.5184435802430559,0
8,90.81,0,0.514888970370306,1
8,54.33,1,0.46919568614961904,1
10,43.42,1,0.4568263010881679,1
11,116.16,1,0.4433805649440669,0
5,14.36,0,0.5421893761677475,0
4,21.69,0,0.548182455066471,1
3,49.34,1,0.5032898881882982,0
2,66.43,1,0.50841264929524,1
4,83.19,0,0.542439274772939,1
5,143.21,1,0.4809949723906644,0
6,35.45,0,0.5335210619720063,0
3,147.92,1,0.4940079908757061,1
11,65.94,0,0.4970370777448488,0
6,113.47,0,0.5262010826014655,0
6,72.35,1,0.48093450240470464,0
9,173.04,0,0.5004179562084159,0
4,189.09,1,0.4834045689762916,1
7,66.6,1,0.47475546266266627,1
7,46.94,0,0.5257340778053897,1
8,93.1,0,0.5146735338374336,1
4,55.16,1,0.4960093214040725,0
4,133.25,1,0.4886582765425627,0
9,60.9,1,0.46187942475414995,0
5,126.22,0,0.5317146289755879,1
6,134.38,1,0.4751051499796008,0
6,150.8,1,0.4735631280824101,1
7,42.79,0,0.5261237883612118,1
10,90.15,1,0.45246246820329566,0
3,226.25,0,0.535742812576403,1
7,23.11,1,0.4788416136411224,0
5,65.23,1,0.48833047982523087,1
5,278.47,0,0.5174144518614996,0
5,116.71,0,0.5326063797644026,1
3,177.97,1,0.4911791299157662,0
3,82.92,1,0.5001280636880224,1
7,126.98,1,0.46908810992903666,0
6,176.54,0,0.5202753484203755,0
8,138.02,1,0.4613536616161754,0
5,55.35,1,0.48926030706086054,0
5,219.67,0,0.5229419495648658,0
6,153.14,0,0.5224746476089587,1
5,104.0,0,0.533797867738761,0
6,76.49,0,0.5296722120705729,0
7,193.09,1,0.4628921150401239,0
9,61.67,0,0.5109027579309064,1
6,99.45,0,0.5275173869157317,0
5,125.28,0,0.5318027817029745,1
7,79.2,0,0.5227036324070438,1
4,82.75,1,0.49341176069462545,0
9,70.32,0,0.510088638366229,0
5,171.1,0,0.5275036006240609,0
12,205.02,0,0.47722443711586593,0
9,42.28,1,0.4636229402459091,0
2,33.09,0,0.5604275945934863,0
8,228.73,1,0.45287550945701494,0
4,95.88,0,0.5412527622029818,0
5,186.9,1,0.47688846949165997,1
3,99.73,0,0.5475725921523784,1
7,76.5,1,0.4738257496508482,0
3,87.73,1,0.49967515711941674,0
4,20.26,0,0.5483158491478757,1
5,124.36,1,0.4827675441074178,1
7,45.37,0,0.525881514185926,1
6,96.67,0,0.5277783496141,0
3,71.54,0,0.5502015636745837,0
7,86.59,1,0.47287838041638497,0
4,1.73,0,0.5500437406529703,1
6,128.79,0,0.5247623085221494,0
7,101.2,1,0.4715069676781807,0
7,90.94,1,0.47247001050965975,0
6,189.5,1,0.4699308112657564,1
6,59.5,1,0.4821428003391176,1
4,121.33,0,0.5388717951053511,0
2,137.71,1,0.5017017561104051,0
7,48.24,1,0.47648011619439246,0
3,271.92,1,0.4823392909160545,1
3,100.92,1,0.4984331999818043,0
2,209.66,0,0.5439846898162407,1
8,103.02,1,0.46463117386672365,1
6,130.55,1,0.4754648992532003,0
6,53.66,1,0.4826920110722121,0
9,241.21,1,0.4450502697262303,0
8,24.28,0,0.5211451776538464,0
6,59.32,0,0.5312829202478583,0
6,233.97,1,0.46576088500441093,0
10,222.68,1,0.4401281547395005,0
4,108.55,1,0.4909830450666755,0
7,116.83,0,0.519166641507286,0
6,112.74,1,0.4771381089392594,0
5,105.5,0,0.5336572713353441,0
4,14.96,0,0.5488101860972218,0
5,185.03,0,0.5261957434903811,0
4,95.16,0,0.5413200947129851,1
4,178.92,0,0.5334775945670764,0
3,37.1,0,0.5534095882467789,1
5,84.88,0,0.535589525243391,0
6,114.95,0,0.5260621073625583,1
7,76.1,1,0.4738633103383848,1
3,43.44,1,0.5038454001884367,1
3,184.74,1,0.49054188398919,1
5,64.26,1,0.4884217650609124,1
5,142.33,1,0.4810777134518334,0
4,43.65,1,0.49709304387872766,1
6,37.49,1,0.4842128994314473,1
8,86.45,1,0.46618392543668674,0
5,88.72,1,0.48612012340675925,0
7,110.17,0,0.5197927910566229,0
5,73.01,1,0.4875983444421397,1
6,88.92,0,0.5285057729477306,0
6,98.71,1,0.4784565593644797,0
3,81.68,0,0.5492562323637449,1
3,32.77,1,0.504850004469459,0
7,137.38,0,0.5172342325604908,0
7,203.71,1,0.46189779916518603,0
5,275.59,1,0.4685625185449934,0
9,134.57,1,0.4549907527019535,1
6,18.29,1,0.4860191555515739,1
9,126.33,1,0.45576044573262564,1
7,38.93,1,0.47735487152732475,0
6,132.63,1,0.47526952309625486,0
5,46.51,1,0.490092320935899,0
6,108.77,0,0.5266423958689741,1
8,164.31,1,0.45889396159561835,0
9,31.7,1,0.4646140157550078,1
9,51.71,0,0.5118400999994553,0
5,36.44,1,0.4910401680689992,1
12,119.3,1,0.4364538198941252,1
8,114.17,0,0.5126910839278044,0
9,35.67,0,0.5133494569859259,0
8,175.13,1,0.4578822139116105,0
3,97.13,1,0.4987900612647905,1
0,88.97,1,0.519746198348864,0
4,230.25,1,0.4795343115983533,0
8,110.85,1,0.46389767211483385,1
11,161.2,1,0.4391981256453094,1
4,50.49,0,0.5454944686401234,0
5,183.85,1,0.4771750495835751,0
4,115.76,1,0.49030439376206014,0
6,93.4,0,0.5280852898950219,0
5,149.54,1,0.4803998318852325,0
13,211.01,1,0.42139755923440253,1
7,151.19,0,0.515935322919638,1
5,57.75,1,0.4890344310175733,1
5,71.54,0,0.5368390214080618,0
2,8.2,1,0.5138927670712887,0
5,79.64,1,0.48697447145579875,0
4,59.17,1,0.49563176869076486,0
11,53.4,0,0.4982178092334161,0
12,89.23,1,0.43924143521878467,1
13,172.11,0,0.4735993348470798,1
7,96.51,0,0.5210768590689434,0
2,58.21,1,0.5091863995177501,1
5,94.58,1,0.4855687917533891,1
7,210.55,1,0.4612575522776565,1
2,126.83,1,0.5027261897186739,0
4,122.64,0,0.5387491894969453,0
8,200.22,1,0.4555374688802521,0
3,326.91,1,0.47717000207008964,0
6,1.84,1,0.4875669954403391,1
8,114.06,1,0.46359700945791227,0
4,41.3,0,0.5463524933595637,0
7,232.32,0,0.5083008083622114,1
3,105.88,1,0.49796617554648753,0
5,118.12,0,0.5324741773617874,0
3,48.99,1,0.5033228425301389,0
7,48.66,1,0.4764406569088301,0
3,114.68,1,0.49713759305754923,0
9,92.4,1,0.45893201249990334,0
8,96.4,1,0.46525144428575127,0
10,95.69,0,0.5009684917134825,0
12,176.36,1,0.4311752804846757,0
2,116.42,0,0.5526818420979619,0
7,103.24,1,0.4713155105236275,0
4,137.73,1,0.4882366677392452,1
9,59.14,0,0.5111408653996838,0
7,62.55,1,0.47513585061956287,1
8,38.61,0,0.5197981364744191,0
7,69.01,0,0.5236610536044035,1
8,129.04,1,0.462194270465249,1
6,137.91,0,0.5239056091571939,1
10,112.78,1,0.45035177053477693,1
7,194.57,0,0.5118538660863797,0
4,154.11,1,0.486695307531304,1
5,81.42,0,0.53591365101071,1
5,101.32,1,0.4849347097778338,1
2,175.97,0,0.5471305726874037,0
1,295.33,0,0.5426607624468419,0
5,112.02,1,0.4839281815510564,1
2,41.32,1,0.5107761163431936,0
7,326.53,1,0.45042257329252766,1
8,14.29,1,0.4729531920073627,0
12,33.76,0,0.4933347953372849,0
2,28.27,0,0.5608747647306828,1
3,174.44,1,0.4915114129268297,1
5,42.75,0,0.5395340512742386,0
8,65.76,0,0.517245222851691,0
7,97.57,1,0.4718476694856419,0
7,50.66,0,0.5253847202358578,0
3,246.68,0,0.5338284497429049,0
4,27.87,0,0.5476058893806984,0
6,64.47,1,0.4816754408869845,1
7,115.96,1,0.4701219114161749,0
8,371.49,0,0.48846676490496854,0
8,51.94,0,0.5185448378949898,0
10,249.71,1,0.437621069938111,1
7,193.15,0,0.5119874964048939,1
6,49.09,1,0.4831218165125649,0
10,45.79,0,0.5056668033260228,1
5,60.48,0,0.5378746105264868,0
8,187.36,1,0.4567390396110875,0
5,31.82,0,0.5405566113536568,0
3,193.72,1,0.4896966631602003,0
4,3.8,1,0.500845261606902,0
7,46.39,1,0.47665392844068727,1
13,92.18,1,0.4323466919446256,1
11,138.23,1,0.441330091808769,1
8,78.98,1,0.46688414486919316,0
9,117.99,1,0.4565396949289401,0
9,30.73,0,0.5138142610716827,1
3,281.95,1,0.48139611464214094,0
8,105.09,1,0.4644372446010815,1
2,60.41,1,0.5089793172433452,0
1,107.76,1,0.5112526271757574,0
6,63.7,1,0.48174784661115183,1
7,117.89,1,0.469940836666786,0
4,128.96,1,0.48906201974846264,0
4,8.83,1,0.5003716406630001,0
1,53.08,0,0.5652014478798117,1
6,115.24,1,0.476903207702725,1
5,66.04,0,0.5373540472410753,1
6,119.8,1,0.47647477423409074,0
8,116.82,1,0.46333851692271394,0
4,35.13,0,0.5469284015154643,0
3,107.57,0,0.5468409630910903,0
5,46.4,0,0.5391924996461216,0
5,207.52,1,0.4749514087939256,1
6,145.46,0,0.5231962831613204,1
4,88.28,1,0.49289115705991143,0
2,47.78,1,0.5101681136484121,1
6,24.09,0,0.5345857505008266,1
4,14.15,0,0.5488857272450017,1
4,189.46,0,0.5324894737870437,1
4,74.78,0,0.5432253438333073,0
6,46.83,1,0.4833343772678183,0
4,5.38,1,0.5006964901414565,0
5,52.93,1,0.48948806984484244,1
7,19.77,1,0.4791555511200689,0
12,257.1,1,0.4237330478177905,0
9,96.33,0,0.5076403275830973,0
8,45.53,1,0.47002122715994143,1
2,29.05,1,0.5119308557208249,1
6,54.87,0,0.531700267303328,1
5,116.69,0,0.5326082549428997,0
3,118.47,1,0.49678074222224683,0
5,163.44,1,0.47909316478194636,1
5,103.15,0,0.5338775366521737,0
3,67.66,0,0.550563192575277,0
1,12.12,0,0.5689887474282572,0
6,25.47,0,0.5344564299580361,0
4,83.71,1,0.4933213836002333,0
9,65.91,1,0.4614104622140076,0
5,46.99,1,0.49004714226094864,1
6,99.12,1,0.47841802581703385,1
4,145.25,0,0.536632346628903,1
4,42.11,0,0.5462768786661849,1
4,149.94,1,0.48708768224804005,0
6,41.84,0,0.5329220398292043,1
2,28.31,0,0.5608710541808689,0
