user_id,group,sessions,deposits,feature_used,churn
69,treatment,4,123.15,1,0
70,control,7,79.32,0,0
71,treatment,5,36.06,1,1
72,control,8,193.24,0,1
73,control,6,226.72,0,0
74,treatment,3,41.69,0,1
75,treatment,6,71.84,1,0
76,control,4,48.06,1,1
77,control,7,213.05,0,1
78,treatment,8,215.62,1,0
79,control,2,57.04,1,0
80,treatment,5,126.09,0,0
81,control,4,38.32,1,0
82,treatment,6,83.0,1,0
83,treatment,7,75.36,1,1
84,control,3,107.04,0,1
85,control,8,81.16,0,1
86,control,6,54.8,0,0
87,control,5,160.9,1,1
88,control,7,196.39,0,1
89,control,6,213.37,0,0
90,control,6,131.69,0,1
91,control,4,63.52,0,1
92,treatment,4,92.11,0,1
93,treatment,5,70.91,1,1
94,treatment,5,193.12,0,0
95,control,4,55.65,1,0
96,treatment,3,72.57,1,1
97,control,3,194.56,0,1
98,treatment,3,65.83,1,0
99,treatment,4,109.57,1,0
100,treatment,7,126.12,0,0
101,treatment,6,86.66,0,0
102,treatment,8,43.2,1,0
103,treatment,13,80.93,0,1
104,treatment,6,48.23,1,0
105,control,7,195.27,0,0
106,treatment,9,46.24,1,0
107,control,4,54.48,0,0
108,treatment,7,59.29,1,0
109,treatment,6,186.13,0,0
110,control,7,102.91,0,0
111,treatment,5,116.23,1,0
112,treatment,4,73.73,1,1
113,control,2,161.1,0,0
114,treatment,9,141.84,1,0
115,treatment,5,85.08,1,0
116,control,5,55.48,1,1
117,treatment,5,59.96,1,0
118,treatment,7,352.79,1,1
119,treatment,7,19.19,0,0
120,treatment,3,29.92,1,0
121,control,4,65.03,1,1
122,control,5,63.93,0,1
123,treatment,11,330.05,1,0
124,control,2,140.48,0,1
125,control,5,60.81,1,0
126,treatment,6,220.2,1,1
127,control,8,158.85,0,0
128,control,4,40.96,0,0
129,control,7,94.61,1,0
130,treatment,7,154.8,1,0
131,control,5,62.19,0,0
132,treatment,12,215.99,1,1
133,control,6,26.4,0,0
134,control,6,73.44,0,1
135,treatment,6,81.54,1,0
136,control,5,132.97,0,0
137,treatment,7,90.96,1,0
138,treatment,6,43.94,1,0
139,treatment,7,133.99,1,0
140,control,4,93.21,1,0
141,treatment,8,28.34,1,0
142,control,6,17.05,1,1
143,control,4,29.51,1,0
144,control,7,165.73,1,0
145,control,5,29.32,0,0
146,treatment,8,201.36,1,1
147,control,6,110.87,0,1
148,treatment,9,103.42,1,0
149,treatment,10,72.08,1,1
150,control,5,141.1,0,0
151,treatment,9,125.85,1,1
152,treatment,9,127.41,1,0
153,control,5,63.7,0,1
154,treatment,4,164.15,0,1
155,treatment,4,77.21,1,0
156,treatment,5,151.76,1,0
157,treatment,7,115.61,1,0
158,control,10,38.08,0,1
159,control,2,80.87,0,1
160,control,4,149.05,0,0
161,control,10,55.72,1,0
162,control,9,73.47,0,1
163,treatment,7,46.36,1,1
164,treatment,4,156.92,0,1
165,control,4,97.06,1,1
166,control,7,58.05,0,0
167,control,7,63.47,0,1
168,treatment,4,77.83,1,0
169,treatment,11,227.46,1,0
170,treatment,7,68.35,0,0
171,control,5,258.34,1,1
172,control,7,116.67,0,0
173,control,4,177.67,0,1
174,treatment,2,110.44,1,1
175,treatment,7,47.53,0,1
176,control,6,93.77,1,1
177,treatment,8,34.78,1,0
178,treatment,9,40.33,0,0
179,control,2,34.28,0,0
180,control,6,30.95,1,1
181,treatment,6,94.95,1,0
182,control,3,116.44,1,0
183,treatment,8,198.15,1,0
184,treatment,4,100.15,1,0
185,control,4,22.16,1,0
186,control,6,14.33,1,0
187,control,3,149.32,0,0
188,control,5,36.86,1,0
189,control,3,117.15,1,0
190,treatment,5,171.39,0,1
191,treatment,3,143.16,1,1
192,treatment,6,245.56,1,1
193,treatment,5,62.51,0,0
194,treatment,4,42.02,1,0
195,treatment,13,86.8,1,0
196,control,12,258.0,1,0
197,control,4,41.74,1,0
198,control,7,41.97,0,0
199,control,8,125.48,1,1
200,control,6,95.27,0,1
201,treatment,8,163.43,1,0
202,control,1,210.08,0,1
203,control,6,74.58,0,0
204,treatment,8,22.61,0,0
205,treatment,9,83.62,1,0
206,control,3,90.9,1,0
207,control,5,62.34,1,1
208,control,8,46.98,0,1
209,treatment,11,150.01,1,1
210,treatment,8,114.87,1,0
211,control,4,59.71,0,0
212,control,3,135.62,0,0
213,treatment,7,82.56,1,1
214,control,2,56.36,0,0
215,treatment,2,38.95,1,0
216,control,4,220.79,0,0
217,treatment,2,146.81,1,0
218,control,9,58.07,1,0
219,control,6,44.32,0,0
220,treatment,3,69.55,1,0
221,treatment,6,207.42,1,0
222,control,7,62.47,1,1
223,treatment,11,89.26,1,0
224,treatment,8,120.57,0,0
225,treatment,6,95.19,1,1
226,treatment,4,70.83,1,0
227,treatment,6,51.41,1,0
228,control,1,11.56,0,1
229,control,7,115.03,0,1
230,control,3,102.92,1,0
231,control,7,152.08,1,0
232,treatment,9,190.98,1,1
233,control,5,30.61,0,0
234,treatment,5,131.63,1,0
235,control,7,49.6,1,0
236,control,1,286.57,0,1
237,treatment,7,84.88,0,1
238,control,3,50.37,1,0
239,treatment,8,83.85,0,0
240,treatment,9,171.02,1,0
241,control,10,87.16,0,1
242,control,3,181.66,0,0
243,treatment,5,152.64,0,0
244,treatment,4,96.09,1,0
245,treatment,6,123.33,1,0
246,treatment,6,75.51,1,0
247,control,6,36.86,0,1
248,control,3,129.84,1,1
249,control,4,160.28,1,0
250,treatment,15,322.99,0,0
251,control,6,255.13,0,1
252,control,5,150.9,0,0
253,control,3,141.68,1,0
254,treatment,7,102.3,1,1
255,treatment,5,88.32,1,0
256,treatment,7,163.92,0,0
257,control,6,227.13,0,1
258,control,2,79.45,0,0
259,control,4,44.18,1,0
260,treatment,8,98.57,1,0
261,control,8,78.52,0,1
262,control,5,131.9,0,1
263,treatment,9,249.12,1,0
264,treatment,7,31.84,1,0
265,control,4,46.3,0,0
266,treatment,5,26.28,1,0
267,control,6,130.9,0,1
268,treatment,5,62.46,1,0
269,treatment,5,211.23,1,0
270,treatment,7,39.68,0,0
271,control,4,28.36,1,1
272,control,7,72.86,0,0
273,control,9,133.78,0,0
274,control,4,258.04,1,0
275,treatment,9,62.73,1,0
276,treatment,2,100.05,1,0
277,treatment,6,105.41,1,0
278,treatment,8,180.93,1,0
279,treatment,4,55.57,1,0
280,control,4,191.57,1,1
281,control,2,68.95,0,0
282,control,6,34.91,1,0
283,treatment,6,154.22,0,0
284,treatment,6,128.6,1,0
285,treatment,2,177.11,1,0
286,control,6,41.08,1,1
287,control,5,19.33,1,1
288,control,4,116.89,0,0
289,control,1,86.77,1,0
290,control,3,132.68,0,0
291,treatment,3,60.02,0,0
292,control,10,42.24,0,0
293,control,3,9.07,0,0
294,control,6,36.02,0,0
295,control,3,22.95,1,1
296,treatment,3,207.39,1,1
297,treatment,9,130.87,1,0
298,control,6,94.94,1,1
299,treatment,2,61.37,0,1
300,control,6,34.96,1,0
301,treatment,5,172.17,0,1
302,control,5,16.8,1,0
303,control,9,79.05,1,1
304,treatment,4,62.72,0,0
305,control,4,87.39,0,0
306,treatment,6,145.42,1,1
307,treatment,7,169.09,0,0
308,treatment,5,210.73,1,0
309,control,4,46.88,1,1
310,treatment,6,53.04,1,1
311,treatment,4,334.01,1,0
312,control,2,39.38,0,1
313,treatment,6,85.3,1,0
314,treatment,8,46.91,1,0
315,control,3,53.07,1,1
316,control,6,6.81,0,1
317,treatment,4,164.42,1,0
318,treatment,10,181.77,0,0
319,control,5,61.18,1,0
320,control,7,120.12,0,0
321,control,9,68.28,0,0
322,treatment,4,171.28,1,1
323,treatment,8,78.99,1,0
324,treatment,8,96.28,1,0
325,control,5,268.78,1,0
326,treatment,7,89.1,1,1
327,control,6,174.2,0,0
328,control,8,107.27,1,0
329,control,4,36.26,0,0
330,treatment,8,72.37,0,1
331,treatment,6,346.76,1,0
332,control,3,120.33,0,1
333,treatment,7,113.7,0,1
334,treatment,3,15.11,1,1
335,control,6,19.46,1,0
336,treatment,7,93.33,1,0
337,treatment,5,63.88,0,0
338,control,3,37.34,1,1
339,treatment,6,23.13,1,1
340,treatment,5,58.64,0,0
341,control,2,62.64,0,0
342,treatment,6,107.23,1,1
343,treatment,9,60.61,0,1
344,control,7,31.2,0,1
345,treatment,8,92.89,1,0
346,control,3,158.28,0,1
347,control,6,10.96,1,1
348,control,11,207.52,1,0
349,control,5,163.43,0,0
350,control,3,133.1,0,1
351,control,8,33.24,1,1
352,treatment,3,101.86,1,0
353,control,4,79.13,1,1
354,control,3,20.07,1,0
355,treatment,9,193.71,1,1
356,treatment,7,137.79,1,1
357,treatment,5,70.02,1,1
358,control,6,52.95,1,1
359,control,3,43.56,0,0
360,control,4,48.97,1,0
361,treatment,8,19.87,1,0
362,control,5,363.23,0,0
363,control,4,41.4,1,0
364,control,2,153.84,1,0
365,treatment,3,169.07,1,0
366,control,4,180.24,1,1
367,control,4,56.44,0,1
368,treatment,6,260.5,0,0
369,treatment,3,104.67,0,1
370,treatment,9,146.94,0,0
371,control,3,40.36,0,1
372,control,6,31.6,0,1
373,treatment,7,196.66,1,0
374,treatment,5,55.54,1,0
375,treatment,7,80.62,1,0
376,treatment,7,112.88,1,0
377,treatment,8,51.44,1,0
378,treatment,3,19.12,0,0
379,control,4,148.73,1,0
380,control,3,23.19,0,1
381,treatment,8,166.51,1,0
382,treatment,8,156.14,1,0
383,control,10,96.29,0,0
384,control,5,92.14,0,0
385,control,5,58.54,0,1
386,control,6,157.72,1,1
387,treatment,4,266.29,1,1
388,control,3,85.34,0,1
389,control,6,185.19,1,0
390,control,3,108.71,1,0
391,treatment,8,264.08,1,0
392,control,2,76.9,0,1
393,control,3,297.89,0,1
394,control,8,234.47,1,0
395,control,2,179.54,0,1
396,treatment,4,123.92,1,1
397,treatment,4,99.73,1,0
398,treatment,8,100.98,1,0
399,control,9,33.94,1,1
400,control,5,238.77,1,0
401,control,6,92.96,0,0
402,treatment,5,158.58,1,0
403,control,3,277.56,1,0
404,treatment,7,46.27,1,0
405,control,2,126.54,0,0
406,control,7,78.27,1,0
407,treatment,8,228.08,1,0
408,control,5,83.79,0,1
409,control,5,115.98,1,0
410,control,5,68.31,0,0
411,control,4,19.66,0,1
412,treatment,7,74.68,0,0
413,treatment,3,69.84,1,0
414,treatment,3,26.0,1,0
415,control,5,109.63,0,0
416,control,2,25.51,0,0
417,treatment,6,127.04,1,0
418,treatment,5,41.19,1,0
419,treatment,5,81.14,1,1
420,treatment,5,47.15,0,1
421,control,2,109.18,1,1
422,treatment,3,137.95,1,0
423,control,6,186.89,0,1
424,treatment,10,23.33,1,0
425,control,6,63.9,1,0
426,treatment,7,193.56,1,0
427,control,4,33.5,1,0
428,treatment,6,25.43,1,0
429,control,5,68.22,1,0
430,treatment,6,76.58,1,0
431,treatment,6,71.56,1,0
432,treatment,6,86.18,1,0
433,control,2,134.59,0,0
434,control,3,147.69,1,1
435,treatment,8,49.15,0,1
436,control,10,20.8,0,1
437,treatment,7,165.28,1,0
438,treatment,3,70.33,1,0
439,control,6,94.67,1,0
440,treatment,7,95.95,1,0
441,control,5,32.58,0,0
442,control,8,17.43,0,1
443,control,6,187.52,0,0
444,treatment,8,456.66,1,1
445,control,7,72.13,1,1
446,treatment,6,45.11,1,1
447,treatment,10,70.56,1,1
448,control,7,198.63,0,1
449,treatment,4,81.68,1,0
450,control,3,39.03,0,0
451,control,6,25.45,0,1
452,control,5,150.01,1,1
453,treatment,6,195.16,0,0
454,treatment,7,136.75,1,0
455,treatment,5,43.77,0,0
456,control,6,80.45,1,1
457,control,2,23.68,1,0
458,control,4,251.85,1,0
459,control,6,123.66,1,0
460,control,4,197.98,0,1
461,control,7,179.16,0,1
462,control,9,24.88,0,1
463,control,4,18.59,0,1
464,control,7,237.28,1,1
465,control,7,49.51,1,1
466,treatment,7,67.02,0,1
467,treatment,7,15.41,1,0
468,treatment,4,161.52,1,0
469,treatment,7,158.18,1,0
470,control,6,120.82,0,0
471,treatment,11,126.77,1,0
472,control,9,210.57,0,0
473,control,4,45.04,1,0
474,treatment,4,204.71,0,1
475,control,7,432.4,0,0
476,treatment,2,74.13,1,0
477,control,5,61.22,1,0
478,control,5,20.65,0,0
479,treatment,12,275.3,1,1
480,control,4,261.49,0,1
481,control,2,103.49,1,0
482,control,8,62.09,1,1
483,control,9,73.34,0,1
484,treatment,5,271.84,1,0
485,control,0,191.28,0,0
486,control,7,30.58,1,0
487,treatment,9,21.21,0,0
488,treatment,8,77.42,1,0
489,treatment,6,47.03,1,1
490,control,3,79.28,0,1
491,treatment,10,134.32,0,1
492,control,6,336.6,1,0
493,treatment,8,214.41,1,1
494,treatment,10,131.25,1,0
495,treatment,9,90.98,1,0
496,control,8,172.26,1,1
497,treatment,9,95.91,0,1
498,control,1,37.51,1,0
499,control,8,147.63,0,1
500,control,5,245.61,0,0
501,control,5,112.6,0,0
502,control,8,89.4,1,1
503,control,5,65.88,1,0
504,control,4,132.49,0,0
505,control,1,229.19,1,0
506,control,7,28.07,1,1
507,control,6,25.15,0,1
508,treatment,5,90.97,1,0
509,treatment,4,166.67,0,0
510,treatment,5,43.26,1,0
511,control,1,100.89,0,1
512,treatment,7,39.79,1,1
513,control,3,65.54,1,0
514,treatment,4,83.82,0,0
515,treatment,3,74.57,1,0
516,control,5,22.28,1,1
517,control,10,57.02,0,1
518,treatment,3,67.42,1,1
519,control,8,107.74,0,1
520,treatment,5,68.0,0,0
521,treatment,10,154.28,1,0
522,control,5,64.49,0,0
523,treatment,9,218.92,1,0
524,treatment,5,41.33,1,0
525,treatment,7,155.46,0,0
526,treatment,6,178.52,1,1
527,treatment,8,56.4,1,0
528,treatment,3,193.37,1,1
529,treatment,9,58.8,1,1
530,control,4,145.94,1,1
531,treatment,3,111.33,0,1
532,control,4,26.45,0,0
533,control,1,76.55,0,1
534,control,4,35.72,0,0
535,control,2,197.16,0,0
536,treatment,5,39.16,1,1
537,treatment,7,119.27,1,1
538,control,5,154.14,0,1
539,control,7,55.29,0,0
540,control,4,93.57,0,0
541,control,6,102.22,1,0
542,control,4,39.32,0,0
543,treatment,3,19.16,1,0
544,control,5,21.28,0,0
545,control,5,125.38,1,1
546,control,7,134.37,0,1
547,control,7,147.52,0,1
548,treatment,3,99.61,1,0
549,control,7,87.09,1,0
550,treatment,11,69.52,1,0
551,treatment,6,38.07,1,0
552,treatment,4,112.98,0,0
553,control,6,67.02,0,1
554,treatment,4,136.4,0,0
555,control,3,114.9,0,0
556,control,3,94.13,1,0
557,control,3,82.9,1,0
558,treatment,8,176.03,1,0
559,control,6,20.4,0,1
560,treatment,9,40.58,0,0
561,treatment,11,21.02,1,0
562,control,4,199.69,0,0
563,treatment,5,56.14,0,0
564,control,6,50.69,1,1
565,treatment,4,35.33,1,0
566,control,2,189.78,0,1
567,control,7,142.22,1,0
568,treatment,9,185.1,1,0
569,control,5,58.91,1,0
570,control,1,163.75,0,1
571,treatment,5,57.58,0,0
572,treatment,3,125.41,1,1
573,treatment,9,149.71,1,1
574,control,3,81.68,0,0
575,control,8,43.72,0,1
576,treatment,4,69.62,1,0
577,control,6,278.36,0,1
578,control,7,128.75,0,0
579,treatment,8,190.79,0,0
580,treatment,7,91.36,1,0
581,treatment,7,168.08,1,0
582,control,7,34.3,0,0
583,control,2,10.43,0,1
584,control,4,31.29,1,0
585,treatment,2,18.35,1,0
586,treatment,7,55.01,0,0
587,control,10,153.16,1,0
588,treatment,4,51.35,0,1
589,treatment,4,110.81,1,0
590,treatment,4,93.04,0,0
591,treatment,9,77.33,1,0
592,control,2,134.26,0,0
593,treatment,10,33.98,1,0
594,treatment,5,79.24,1,1
595,treatment,6,110.09,1,0
596,control,2,121.37,0,1
597,control,7,112.34,0,1
598,treatment,6,222.25,1,0
599,treatment,4,164.87,0,0
600,control,1,63.49,0,1
601,treatment,4,40.13,1,1
602,treatment,10,92.82,1,0
603,control,4,56.86,0,0
604,treatment,6,72.03,1,0
605,control,8,112.31,1,0
606,treatment,8,47.16,1,0
607,control,3,34.21,0,1
608,control,7,187.53,0,1
609,control,7,28.81,0,1
610,treatment,6,85.55,0,1
611,treatment,7,61.61,1,1
612,treatment,7,70.9,1,0
613,control,4,40.03,0,1
614,treatment,5,128.41,0,0
615,control,4,97.06,1,1
616,control,11,7.28,1,1
617,treatment,6,114.22,1,0
618,treatment,2,131.5,0,0
619,treatment,6,198.28,1,1
620,control,3,105.24,1,0
621,treatment,5,285.07,0,0
622,treatment,5,191.62,0,0
623,treatment,2,177.23,1,1
624,control,1,61.14,0,0
625,control,2,120.33,0,1
626,control,7,92.1,1,0
627,control,5,134.7,0,1
628,treatment,6,91.6,0,0
629,control,5,11.6,0,1
630,control,6,88.41,0,0
631,treatment,4,408.64,1,1
632,control,3,180.78,1,0
633,treatment,7,37.31,0,1
634,treatment,4,146.69,0,0
635,treatment,5,191.0,1,0
636,treatment,5,150.93,1,0
637,control,6,40.95,0,1
638,control,3,44.37,0,1
639,treatment,5,85.36,1,1
640,treatment,4,128.72,0,0
641,control,8,113.15,0,0
642,treatment,9,84.37,1,1
643,treatment,6,170.73,0,1
644,control,10,135.46,0,0
645,treatment,3,183.12,1,0
646,control,3,72.09,0,0
647,control,6,119.01,1,1
648,control,3,25.82,0,0
649,control,8,84.79,0,0
650,control,6,235.79,0,0
651,control,1,69.49,0,1
652,treatment,4,81.48,1,1
653,control,5,49.81,0,1
654,control,5,52.34,0,0
655,control,4,13.2,1,0
656,treatment,2,21.24,1,0
657,treatment,7,45.12,1,1
658,treatment,3,209.94,1,0
659,control,7,116.25,0,1
660,control,3,68.54,1,0
661,treatment,4,237.44,1,0
662,treatment,7,5.74,1,0
663,treatment,10,18.86,1,0
664,treatment,6,149.44,1,0
665,control,5,35.85,1,0
666,control,5,44.51,0,0
667,treatment,7,233.94,1,1
668,treatment,5,45.97,1,1
669,control,1,88.25,1,0
670,treatment,6,163.87,0,0
671,control,7,113.11,0,0
672,control,10,150.51,1,0
673,control,2,42.77,0,0
674,treatment,6,42.89,1,0
675,treatment,4,216.28,0,0
676,treatment,7,105.46,1,1
677,control,6,112.68,0,1
678,treatment,8,43.39,0,0
679,treatment,4,119.72,0,0
680,control,5,44.11,0,1
681,control,4,80.05,0,0
682,treatment,3,76.72,0,1
683,treatment,4,143.76,1,0
684,treatment,4,100.32,0,1
685,treatment,4,74.36,0,0
686,treatment,4,43.95,1,0
687,treatment,7,253.47,1,0
688,control,2,13.72,0,0
689,control,9,58.78,1,0
690,control,4,101.33,1,1
691,treatment,5,115.89,1,0
692,treatment,7,77.0,1,0
693,treatment,9,59.49,1,0
694,treatment,5,71.98,1,0
695,treatment,7,36.93,1,0
696,control,5,72.41,1,1
697,control,5,174.15,0,1
698,treatment,4,41.05,1,1
699,treatment,5,108.0,1,1
700,treatment,10,77.61,1,0
701,treatment,6,130.98,1,0
702,control,2,38.78,0,0
703,control,3,8.83,0,0
704,control,6,110.04,0,1
705,treatment,4,51.17,1,0
706,control,6,62.48,1,0
707,treatment,9,117.51,1,0
708,control,13,83.08,1,0
709,control,9,73.69,0,1
710,control,5,105.6,0,0
711,control,4,61.49,0,1
712,control,3,95.28,0,0
713,treatment,6,341.63,0,1
714,control,3,25.2,1,0
715,control,4,39.17,0,1
716,treatment,4,157.55,0,0
717,treatment,5,36.07,0,1
718,control,8,94.8,0,0
719,control,9,325.62,0,1
720,control,0,201.5,1,0
721,control,8,32.09,0,1
722,treatment,9,83.48,1,1
723,control,5,103.08,0,1
724,treatment,3,109.48,1,0
725,treatment,10,181.6,1,1
726,treatment,6,54.03,0,1
727,treatment,4,153.35,1,0
728,control,9,92.37,1,0
729,treatment,8,142.02,1,0
730,treatment,5,75.73,0,0
731,treatment,3,11.22,1,0
732,control,4,35.49,0,0
733,treatment,6,152.76,0,0
734,treatment,9,133.17,1,0
735,control,7,93.28,0,0
736,treatment,6,149.9,1,1
737,control,2,230.73,1,0
738,control,3,311.34,0,0
739,control,4,203.87,0,0
740,treatment,4,46.55,1,0
741,control,2,174.23,0,0
742,treatment,4,149.73,0,1
743,treatment,6,116.1,1,0
744,control,4,131.04,0,1
745,control,5,184.9,0,0
746,treatment,4,16.54,1,1
747,treatment,4,187.31,1,1
748,treatment,4,67.04,1,0
749,control,8,5.4,1,1
750,treatment,4,35.96,1,0
751,control,2,38.53,0,1
752,control,7,83.39,1,0
753,treatment,6,190.06,0,0
754,control,8,270.97,1,0
755,control,4,27.49,0,0
756,control,6,66.82,0,0
757,control,7,19.06,0,0
758,control,7,145.78,1,1
759,control,4,33.48,0,0
760,treatment,9,80.33,1,0
761,treatment,7,49.96,1,0
762,treatment,6,61.0,1,0
763,treatment,8,96.09,0,0
764,treatment,11,61.34,1,1
765,treatment,3,108.6,1,1
766,treatment,3,109.14,0,1
767,treatment,8,148.9,1,1
768,control,4,76.9,0,1
769,treatment,7,199.15,1,1
770,control,4,29.18,0,1
771,treatment,7,193.2,1,1
772,treatment,10,252.98,0,0
773,treatment,3,45.01,1,0
774,control,7,246.9,0,0
775,treatment,9,117.96,1,0
776,treatment,7,77.8,1,0
777,control,4,63.24,0,1
778,treatment,6,80.46,1,1
779,control,2,152.68,1,1
780,control,4,89.93,0,0
781,control,9,149.88,1,1
782,treatment,7,78.39,1,0
783,control,5,157.41,1,0
784,treatment,8,21.18,1,0
785,control,6,68.97,1,1
786,control,7,114.15,0,0
787,control,9,76.17,0,1
788,treatment,9,124.12,1,1
789,control,4,81.48,1,0
790,treatment,10,267.14,0,1
791,control,4,133.65,0,0
792,control,5,84.52,1,1
793,control,4,86.37,1,0
794,control,3,126.68,0,0
795,treatment,4,122.65,1,0
796,control,7,86.42,1,0
797,treatment,5,86.67,1,0
798,treatment,6,83.99,1,0
799,treatment,3,35.71,1,1
800,treatment,4,371.98,1,0
801,control,5,166.92,0,0
802,control,4,110.11,0,0
803,control,7,156.44,1,0
804,control,4,238.61,0,0
805,control,5,67.85,1,0
806,control,2,27.41,0,1
807,control,1,279.66,0,0
808,control,6,18.16,0,1
809,treatment,13,83.47,1,1
810,treatment,12,149.48,1,0
811,treatment,6,305.45,1,0
812,control,13,72.81,0,0
813,control,6,32.51,0,1
814,control,7,133.47,0,0
815,control,4,62.02,0,1
816,treatment,4,129.8,0,0
817,treatment,7,20.72,1,0
818,treatment,8,81.79,0,0
819,control,4,85.51,0,0
820,control,4,88.32,0,0
821,treatment,4,143.15,1,1
822,treatment,4,89.57,1,1
823,control,2,86.3,1,0
824,treatment,7,181.89,1,0
825,treatment,9,55.14,0,1
826,control,8,81.72,0,1
827,control,6,74.42,0,1
828,treatment,6,61.67,1,1
829,treatment,10,206.93,0,0
830,control,9,6.61,0,0
831,treatment,2,101.18,1,1
832,treatment,2,190.52,1,0
833,treatment,6,165.25,1,0
834,control,6,35.81,0,1
835,control,3,33.24,0,1
836,control,3,248.95,1,0
837,treatment,3,40.57,1,0
838,treatment,4,69.3,1,1
839,control,2,265.1,0,0
840,treatment,9,110.83,1,0
841,treatment,5,58.0,1,0
842,control,4,200.43,0,0
843,control,5,114.31,0,0
844,treatment,6,41.75,1,1
845,treatment,6,47.81,0,0
846,control,6,198.51,1,1
847,control,4,194.34,0,1
848,control,8,80.97,0,0
849,control,3,68.55,0,1
850,control,5,163.04,0,1
851,treatment,5,121.92,1,1
852,treatment,6,227.84,1,0
853,control,5,144.72,0,0
854,control,5,11.65,1,1
855,control,5,146.96,1,0
856,treatment,4,87.07,1,0
857,treatment,6,119.35,0,1
858,treatment,6,77.25,1,0
859,treatment,6,174.31,0,0
860,control,4,69.96,0,1
861,treatment,5,56.44,1,1
862,treatment,10,77.17,0,1
863,control,6,75.03,1,1
864,treatment,2,153.83,1,1
865,control,7,14.09,0,1
866,control,4,137.45,1,0
867,control,5,47.69,1,0
868,control,2,125.06,0,0
869,treatment,7,33.14,1,1
870,treatment,6,160.98,1,0
871,treatment,0,88.98,1,1
872,control,4,55.64,1,0
873,treatment,6,45.36,0,0
874,treatment,2,111.09,0,0
875,treatment,8,113.0,1,0
876,control,6,147.21,0,1
877,treatment,5,63.59,1,1
878,control,4,200.65,0,1
879,treatment,6,216.06,0,0
880,control,5,113.1,1,0
881,control,5,136.09,0,1
882,control,8,132.68,1,0
883,treatment,6,108.42,1,1
884,treatment,8,58.19,0,0
885,control,3,74.2,0,0
886,treatment,5,142.82,1,0
887,treatment,3,65.98,1,1
888,treatment,5,136.2,0,0
889,control,2,23.71,1,0
890,treatment,3,246.09,0,1
891,control,6,185.58,0,0
892,treatment,7,124.02,0,1
893,treatment,6,114.09,1,1
894,treatment,5,145.41,1,1
895,treatment,7,48.5,1,0
896,treatment,5,156.36,0,0
897,control,4,57.49,0,0
898,treatment,9,129.86,1,0
899,treatment,6,269.89,1,1
900,control,5,48.61,1,0
901,control,6,37.19,0,0
902,control,7,52.62,0,1
903,treatment,7,95.14,1,1
904,control,8,158.95,0,0
905,control,7,118.84,1,1
906,control,11,86.85,0,0
907,treatment,6,44.76,1,0
908,control,3,85.79,1,1
909,treatment,3,81.26,0,0
910,treatment,1,133.31,1,0
911,control,4,37.6,1,0
912,treatment,8,79.81,0,0
913,treatment,6,157.32,1,1
914,treatment,8,292.68,0,0
915,control,4,91.1,0,0
916,control,2,255.04,0,1
917,treatment,3,49.33,1,0
918,control,6,5.5,1,1
919,treatment,3,49.61,0,0
920,control,6,76.59,1,0
921,treatment,3,178.65,0,1
922,control,15,43.44,1,1
923,control,6,64.73,0,1
924,control,6,28.87,0,0
925,control,7,182.57,1,1
926,control,5,99.48,1,1
927,treatment,4,51.49,1,0
928,treatment,10,55.57,0,0
929,treatment,11,154.49,1,0
930,treatment,3,238.92,0,0
931,control,6,32.72,1,0
932,control,3,7.85,1,0
